16197,Aplicación,Adaptador para corriente directa,1
16224,Resolución Horizontal,800 TV lineas,4
16224,Distancia  Ir,20 Mts,5
16224,Alimentación,12V / 700 mA,6
16224,Sensor  CMOS,1/4 de resolución ,7
16224,Lente,3.6 mm,8
16198,Distancia,5 m,9
16198,Color,Rojo/ Negro ,10
16329,Categoría,Cat 5,11
16329,AWG,24/26,12
16329,Conector,Plug- Modular,13
16223,Resolución Horizontal,800 TVL,14
16223,Distancia Ir,30 m ,15
16223,Lente,3.6mm,16
16223,Sensor CMOS,1/4,17
16133,Sensor CMOS,1/3 EPCOM TurboHD,18
16133,Resolución,HD 720p.,19
16133,Lente,3.6mm,20
16133,ICR,Filtro Mecanico 20mts,21
16221,Capacidad,500 GB,22
16221,RPM,7200,23
16221,Cache,32MB,24
16222,Voltaje salida,12 Vlts,25
16227,Canales Video,4 Canales ,26
16227,Video,HDMI/ VGA simultaneo,27
16227,Entradas de audio,1,28
16227,Conector,BNC,29
16228,Canales de Video,- 8 Canales de Video (TurboHD (TVI), Analógico).- 2 Canal IP 1080p.- Conector BNC.,30
16228,Canales de Audio,- 1 Canal de Entrada de Audio.- 1 Canal de Salida de Audio.- Conector RCA.,31
16228,Codificación de Video,- Main stream: 1080p, 720p, VGA, WD1, 4CIF, CIF.- Sub stream: WD1, 4CIF, CIF, QCIF, QVGA.- Bitrate de 32 Kbps hasta 6 Mbps.,32
15892,Interface,USB 2.0,33
15892,Antena,Interna ,34
15892,LED,Estatus,35
15892,Velocidad de Señal,11 Mbps - 150 Mbps,36
15892,Seguridad Inalámbrica,Wep,WPA/WPA2,WPA-PSK/WPA2-PSK(TRIP/AES) de 64/128 ,37
15892,Estandar de Soporte,IEEE 802.1X,38
17044,Color,Negro,39
17044,Calibre,18,40
17044,Volts,125,41
17044,Amperes,10,42
17040,Color,Negro,43
17040,Calibre,18,44
17040,Amperes,10,45
17045,Color,Negro,46
17045,Calibre,18,47
17045,Volts,250,48
17045,Amperes,10,49
17041,Color,Negro,50
17041,Volts,250,51
17041,Amperes,10,52
17273,Color,Negro,53
17273,Calibre,18,54
17273,Volts,125,55
17273,Amperes,10,56
17054,Color,NEGRO,57
17054,CALIBRE,18,58
17054,VOLTS,125,59
17054,AMPERES,7,60
17017,Color,Blanco,61
17017,Volts,125,62
17017,Amperes,2.5,63
44,Transferencia,Si,64
44,Teclas Programables con LED,12,65
44,Peso,794 g,66
72,Categoría,OM1 (62.5 um MM),67
72,Pérdida de inserción, Max,0.75 dB,68
72,Pérdida inserción, típica,0.3 dB,69
72,Reflectancia,-26 dB,70
587,Listado,Ul 94V,74
587,Ancho,17 mm,75
587,Alto,22 mm,76
596,Categoría,Cat 6,77
596,Longitud,2 M,78
635,Conector Tipo,Socket,79
635,Material del Contacto,Cobre ,80
635,LAN Categoría,Cat 6,81
1443,Longitud del cable,6,82
1443,Voltage,120V,83
17038,Color,Negro,84
17038,Volts,250,85
17038,Amperes,10,86
17038,Fusible,5 amperes,87
1489,Tipo de Producto,Baja Tension ,88
1489,Material,PVC,89
1540,Material,Acero,90
1540,Tipo,PORTAESCALERAS,91
1708,Conector,RJ45 Plug,92
1708,Color,Blanco,93
1754,Categoría,Cat 3,94
1932,Color,Negro,96
1932,Tipo de Montaje,Flush,97
2212,Tipo de Modulo,Minicom,98
2212,Color,Blanco,99
2212,Material,ABS,100
2299,Uso,Para liarse de los Fines Generales,101
2299,Color,Negro,102
2299,Longitud,20 pie.,103
2299,Clase de Proteccion,Rodillo, Gancho y lazo,104
17043,Color,Negro,105
17043,Calibre,18,106
17043,Amperes,10,107
17043,Fusible,13 amperes,108
17041,Calibre,18,109
17038,Calibre,18,110
17042,Color,Negro,111
17042,Calibre,18,112
17042,Volts,250,113
17042,Conector B,IEC-60320-C13,114
17042,Conector A,CEE7/7,115
17029,CONDUCTOR,COBRE,116
17029,COBERTURA DE MALLA,95 %,117
17029,IMPEDANCIA,75±3,118
17029,CALIBRE,34,119
17023,Conector A,RJ45 Macho,120
17023,Longitud,1 M,121
17031,Conector A,DB9-H,122
17031,Conector B,DB9-M,123
17022,Conector A,RJ45 Macho,124
17022,Longitud,1.50 M,125
17031,Longitud,1.80 M,126
17019,Categoría,Cat 5E,127
17019,Ancho de banda,100 MHZ,128
17019,Velocidad,100 MBPS,129
17019,Calibre,24,130
17019,Longitud,0.60 M,131
17018,Categoría,Cat 5E,132
17018,Ancho de banda,100MHZ,133
17018,Velocidad,100 MBPS,134
17018,Calibre,24,135
17018,Longitud,1.80 M,136
17304,Categoría,Cat 6,137
17304,Ancho de banda,250 MHZ,138
17304,Velocidad,1000 MBPS,139
17304,Calibre,24,140
17304,Longitud,10 M,141
17020,Categoría,Cat 5,142
17020,Ancho de banda,100 MHZ,143
17020,Velocidad,100 MBPS,144
17020,Calibre,24,145
17020,Longitud,1.30 M,146
17021,Categoría,Cat 6,147
17021,Ancho de banda,250 MHZ,148
17021,Velocidad,1000 MBPS,149
17021,Calibre,24,150
17021,Longitud,1.50,151
17013,Conector,Plug A macho B  macho,152
17013,Version  USB,2.0,153
17013,Calibre,28,154
17013,Longitud,1.50 M,155
17015,Conector,Plug A macho B  macho,156
17015,Version USB,2.0,157
17015,Calibre,28,158
17015,Longitud,1.80 M,159
17015,Color,GRIS,160
17013,Color,Negro,161
17012,Conector,Plug A macho B  macho,165
17012,Version USB,2.0,166
17012,Calibre,24,167
17012,Longitud,2 M,168
17012,Color,Gris,169
17014,Conector,Plug A macho B  macho,170
17014,Version USB,2.0,171
17014,Calibre,28,173
17014,Longitud,1.0 M,174
17014,Color,Negro,175
2328,Color,Blanco ,176
2328,Material,ABS,177
2332,Color,Blanco,178
2332,Material,ABS,179
2333,Color,Blanco,180
2333,Material,ABS,181
2335,Color,Blanco,182
2335,Material,ABS,183
2338,Color,Blanco,184
2338,Material,ABS,185
2339,Color,Blanco,186
2341,Color,Blanco,187
2341,Material,PVC,188
2342,Color,Blanco,189
2342,Material,PVC,190
2344,Color,Blanco,191
2344,Material,PVC,192
2422,Material,acero,193
3636,Material,Phosphor Bronze,195
3636,Categoría,Cat 5,196
3681,Fibra Categoría,50 micras ,197
3681,Conector del manguito,Ceramica ,198
4270,Categoría,Cat 5E,199
4270,Número de puertos,48,200
4548,Color,Blanco,201
4548,Material,Cloruro de polivinilo (PVC),202
4864,Categoría,Cat 6,203
4864,Color,Blanco,204
4864,Numero de Puertos,1,205
4865,Color,Negro,207
5077,Numero de Lineas,2,209
5077,Numero de Puertos Ethernet,2,210
5077,Protocolo,SIP,211
5867,Tipo,Etiquetas ,212
5867,Color,Variedad de Colores ,213
8130,Tipo,Panel,214
8130,Puertos Insertos,16 a 24,215
8131,Puertos Insertos,24,216
8131,Tipo,Panel,217
8160,Categorias,Cat 5, Cat 6,218
8160,Estandar hasta,100mts ,219
8455,Interface,USB 2.0,220
8455,Estandares Inalambricos,IEEE 802.11n, IEEE 802.11g, IEEE 802.11b,221
9016,Cable,Estructurado,224
1439,Categoría,Cat 6,225
1439,Puertos,1,226
12670,Puertos,5 puertos RJ-45 10/100 de detección automática (IEEE 802.3 tipo 10BASE-T, IEEE 802.3u tipo 100BASE-TX), tipo de soporte: MDIX automático, dúplex: medio o completo,227
12670,Diferenciador,Switch de Fast Ethernet de escritorio con 5 puertos, no gestionado, diseñado para oficinas pequeñas, versión 2,228
12673,Puertos Ethernet 10/100/1000,8,229
12673,Latencia,100 Mb: < 3,9 µs,230
13651,Conector,BNC,231
13897,Capacidad Almacenamiento,32GB,232
13897,Adaptador,Si,233
14337,Interface,USB 2.0,234
14337,Velocidad,150 Mbps,235
14430,Color,Gris,236
14487,Conexion,Inalambrica,237
14543,Tipo,Macho,240
14543,Conector A,jACK 3.5 MM,241
15378,Conector,BNC,242
15378,Terminación,Compresión ,243
15420,Categoría,Cat 5,244
15435,Categoría,Cat 6,245
15435,Contantos,8 ,246
15867,Cache,64 MB,247
15867,Capacidad,1TB,248
15867,Interfaz Sata,6 Gb/s,249
15868,Capacidad,2 TB,250
15868,Cache,64 MB,251
15868,Velocidad,7200 RPM,252
15869,Capacidad,4TB,256
15869,Sata Interface,6Gb/s,257
15886,Lente,3.6mm,261
15886,Resolucion Pixeles,1280x720,262
15886,Sensor de Imagen,1/4  CMOS Sensor,263
17055,Color,Negro,264
17055,Conector,RJ11,265
17055,Longitud,2 M,266
15887,Botón,WPS/Reset (Reinicio),267
